[2023-12-21 21:20:38] [info]  [  632] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-12-21 21:20:41] [info]  [  632] Running Service 'Tomcat10'...
[2023-12-21 21:20:41] [info]  [12828] Starting service...
[2023-12-21 21:20:43] [info]  [12828] Service started in 1749 milliseconds.
[2023-12-21 21:24:57] [info]  [  632] Service SERVICE_CONTROL_STOP signalled.
[2023-12-21 21:24:57] [info]  [ 8284] Stopping service...
[2023-12-21 21:24:58] [info]  [ 8284] Service stop thread completed.
[2023-12-21 21:24:58] [info]  [  632] Run service finished.
[2023-12-21 21:24:58] [info]  [  632] Apache Commons Daemon procrun finished.
[2023-12-21 21:26:29] [info]  [ 5924] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-12-21 21:26:29] [info]  [ 5924] Running Service 'Tomcat10'...
[2023-12-21 21:26:29] [info]  [13472] Starting service...
[2023-12-21 21:26:30] [info]  [13472] Service started in 1462 milliseconds.
[2023-12-21 21:27:15] [info]  [ 5924] Service SERVICE_CONTROL_STOP signalled.
[2023-12-21 21:27:15] [info]  [ 6848] Stopping service...
[2023-12-21 21:27:16] [info]  [ 6848] Service stop thread completed.
[2023-12-21 21:27:16] [info]  [ 5924] Run service finished.
[2023-12-21 21:27:16] [info]  [ 5924] Apache Commons Daemon procrun finished.
[2023-12-21 21:27:19] [info]  [12932] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-12-21 21:27:19] [info]  [12932] Running Service 'Tomcat10'...
[2023-12-21 21:27:19] [info]  [12024] Starting service...
[2023-12-21 21:27:21] [info]  [12024] Service started in 1689 milliseconds.
[2023-12-21 21:27:39] [info]  [12932] Service SERVICE_CONTROL_STOP signalled.
[2023-12-21 21:27:39] [info]  [ 5716] Stopping service...
[2023-12-21 21:27:40] [info]  [ 5716] Service stop thread completed.
[2023-12-21 21:27:40] [info]  [12932] Run service finished.
[2023-12-21 21:27:40] [info]  [12932] Apache Commons Daemon procrun finished.
[2023-12-21 21:28:06] [info]  [ 2216] Apache Commons Daemon procrun (1.3.4.0 64-bit) started.
[2023-12-21 21:28:06] [info]  [ 2216] Running Service 'Tomcat10'...
[2023-12-21 21:28:06] [info]  [ 4488] Starting service...
[2023-12-21 21:28:07] [info]  [ 4488] Service started in 1141 milliseconds.
[2023-12-21 23:59:32] [info]  [ 2216] Service SERVICE_CONTROL_STOP signalled.
[2023-12-21 23:59:32] [info]  [ 5744] Stopping service...
[2023-12-21 23:59:33] [info]  [ 5744] Service stop thread completed.
[2023-12-21 23:59:33] [info]  [ 2216] Run service finished.
[2023-12-21 23:59:33] [info]  [ 2216] Apache Commons Daemon procrun finished.
